Time Out,Event,Wilayah,Gender,Metode Pembayaran,Durasi Pembayaran,Premi,Usia
33,0,3,Perempuan,Triwulan,<=60,<=2.5jt,36
1,1,3,Laki-laki,Bulanan,>120,<=2.5jt,38
12,1,3,Laki-laki,Triwulan,<=60,<=2.5jt,41
3,1,3,Perempuan,Triwulan,<=60,<=2.5jt,21
1,0,3,Laki-laki,Bulanan,>120,<=2.5jt,33
12,0,3,Perempuan,Bulanan,>120,<=2.5jt,32
1,1,3,Laki-laki,Bulanan,60-120,<=2.5jt,50
1,1,3,Perempuan,Bulanan,60-120,<=2.5jt,40
43,0,3,Laki-laki,Bulanan,>120,<=2.5jt,28
19,0,3,Laki-laki,Triwulan,<=60,<=2.5jt,42
3,1,2,Perempuan,Triwulan,<=60,<=2.5jt,46
9,1,2,Laki-laki,Bulanan,>120,<=2.5jt,23
10,1,3,Perempuan,Bulanan,60-120,<=2.5jt,31
3,0,3,Laki-laki,Triwulan,<=60,<=2.5jt,44
4,1,3,Laki-laki,Bulanan,60-120,<=2.5jt,38
53,0,3,Perempuan,Bulanan,>120,<=2.5jt,26
32,0,3,Perempuan,Bulanan,60-120,<=2.5jt,35
6,1,3,Laki-laki,Triwulan,<=60,<=2.5jt,18
3,1,3,Laki-laki,Triwulan,<=60,<=2.5jt,50
12,1,3,Perempuan,Bulanan,>120,<=2.5jt,47
6,1,3,Laki-laki,Semester,<=60,<=2.5jt,25
14,0,3,Perempuan,Tahunan,<=60,2.5jt-10jt,47
12,0,3,Perempuan,Bulanan,>120,<=2.5jt,20
4,0,3,Perempuan,Bulanan,>120,<=2.5jt,44
1,1,3,Laki-laki,Bulanan,>120,<=2.5jt,24
1,1,3,Perempuan,Bulanan,>120,<=2.5jt,45
55,0,3,Laki-laki,Bulanan,>120,<=2.5jt,46
18,1,3,Perempuan,Triwulan,<=60,<=2.5jt,24
3,1,3,Laki-laki,Triwulan,<=60,<=2.5jt,28
2,0,3,Laki-laki,Bulanan,60-120,<=2.5jt,42
27,0,3,Laki-laki,Bulanan,60-120,<=2.5jt,45
1,1,3,Laki-laki,Bulanan,>120,<=2.5jt,36
4,1,3,Perempuan,Bulanan,60-120,<=2.5jt,45
3,1,3,Perempuan,Bulanan,>120,<=2.5jt,34
47,0,3,Perempuan,Bulanan,>120,<=2.5jt,45
3,1,3,Laki-laki,Triwulan,<=60,<=2.5jt,27
14,0,3,Perempuan,Bulanan,60-120,<=2.5jt,26
5,1,3,Perempuan,Bulanan,>120,<=2.5jt,45
4,1,3,Perempuan,Bulanan,>120,<=2.5jt,46
10,1,3,Perempuan,Bulanan,>120,<=2.5jt,27
9,1,3,Laki-laki,Bulanan,>120,<=2.5jt,19
26,0,3,Laki-laki,Bulanan,60-120,<=2.5jt,31
3,1,3,Laki-laki,Bulanan,>120,<=2.5jt,41
9,1,3,Laki-laki,Bulanan,>120,<=2.5jt,35
9,1,3,Laki-laki,Bulanan,>120,<=2.5jt,24
5,1,3,Laki-laki,Bulanan,>120,<=2.5jt,43
3,1,3,Perempuan,Bulanan,>120,<=2.5jt,39
60,0,3,Perempuan,Bulanan,>120,<=2.5jt,25
1,1,3,Perempuan,Bulanan,>120,<=2.5jt,43
7,1,3,Perempuan,Bulanan,>120,<=2.5jt,20
12,0,3,Perempuan,Bulanan,>120,<=2.5jt,28
36,0,3,Perempuan,Bulanan,>120,<=2.5jt,32
1,1,3,Laki-laki,Bulanan,>120,<=2.5jt,33
59,0,3,Perempuan,Bulanan,>120,<=2.5jt,32
17,1,3,Perempuan,Bulanan,60-120,<=2.5jt,41
48,0,3,Laki-laki,Tahunan,<=60,2.5jt-10jt,44
6,1,3,Perempuan,Bulanan,60-120,<=2.5jt,35
3,0,2,Perempuan,Bulanan,60-120,<=2.5jt,53
1,0,2,Perempuan,Bulanan,60-120,<=2.5jt,28
14,0,2,Laki-laki,Bulanan,60-120,<=2.5jt,38
52,0,3,Perempuan,Bulanan,>120,<=2.5jt,36
40,0,3,Laki-laki,Bulanan,60-120,<=2.5jt,48
3,0,3,Perempuan,Bulanan,60-120,<=2.5jt,26
9,1,3,Laki-laki,Bulanan,>120,<=2.5jt,42
57,0,3,Perempuan,Bulanan,60-120,<=2.5jt,34
21,0,3,Perempuan,Bulanan,>120,<=2.5jt,43
12,0,3,Laki-laki,Triwulan,<=60,<=2.5jt,24
37,0,3,Laki-laki,Bulanan,>120,<=2.5jt,48
3,1,3,Laki-laki,Bulanan,>120,<=2.5jt,40
1,0,3,Perempuan,Bulanan,>120,<=2.5jt,27
15,0,3,Laki-laki,Bulanan,>120,<=2.5jt,32
8,0,2,Perempuan,Bulanan,60-120,<=2.5jt,24
56,0,3,Perempuan,Bulanan,>120,<=2.5jt,38
3,1,3,Laki-laki,Triwulan,<=60,<=2.5jt,37
12,0,3,Perempuan,Bulanan,60-120,<=2.5jt,47
1,0,3,Perempuan,Bulanan,>120,<=2.5jt,49
54,0,3,Laki-laki,Triwulan,<=60,<=2.5jt,27
40,0,3,Perempuan,Bulanan,>120,<=2.5jt,46
55,0,2,Laki-laki,Triwulan,<=60,<=2.5jt,23
11,1,3,Laki-laki,Bulanan,>120,<=2.5jt,34
1,1,3,Laki-laki,Bulanan,>120,<=2.5jt,38
2,1,3,Perempuan,Bulanan,>120,<=2.5jt,32
1,1,3,Laki-laki,Bulanan,60-120,<=2.5jt,46
12,1,3,Perempuan,Bulanan,>120,<=2.5jt,27
48,0,3,Laki-laki,Bulanan,>120,<=2.5jt,17
7,0,3,Laki-laki,Bulanan,>120,<=2.5jt,31
10,1,3,Perempuan,Bulanan,>120,<=2.5jt,39
3,1,3,Perempuan,Triwulan,<=60,<=2.5jt,31
2,1,3,Laki-laki,Bulanan,>120,<=2.5jt,31
8,1,3,Laki-laki,Bulanan,>120,<=2.5jt,48
49,0,3,Perempuan,Tahunan,<=60,2.5jt-10jt,44
14,0,3,Laki-laki,Bulanan,>120,<=2.5jt,50
17,1,3,Perempuan,Bulanan,60-120,<=2.5jt,49
6,1,3,Perempuan,Triwulan,<=60,<=2.5jt,35
4,1,3,Perempuan,Bulanan,60-120,<=2.5jt,25
1,1,3,Perempuan,Bulanan,>120,<=2.5jt,31
1,1,3,Perempuan,Bulanan,>120,<=2.5jt,29
1,0,3,Perempuan,Bulanan,>120,<=2.5jt,25
54,0,3,Perempuan,Triwulan,<=60,<=2.5jt,48
45,0,3,Perempuan,Bulanan,>120,<=2.5jt,48
3,1,3,Laki-laki,Triwulan,<=60,<=2.5jt,38
11,1,3,Perempuan,Bulanan,>120,<=2.5jt,49
13,0,3,Perempuan,Bulanan,>120,<=2.5jt,35
1,1,3,Perempuan,Bulanan,>120,<=2.5jt,26
1,1,3,Laki-laki,Bulanan,>120,<=2.5jt,24
1,0,3,Laki-laki,Bulanan,>120,<=2.5jt,37
12,1,3,Laki-laki,Tahunan,<=60,<=2.5jt,24
6,1,3,Perempuan,Bulanan,60-120,<=2.5jt,45
38,0,3,Perempuan,Bulanan,>120,<=2.5jt,37
54,0,3,Perempuan,Bulanan,>120,<=2.5jt,36
1,1,3,Perempuan,Bulanan,60-120,<=2.5jt,51
1,0,3,Perempuan,Bulanan,>120,<=2.5jt,34
57,0,3,Perempuan,Bulanan,>120,<=2.5jt,25
30,0,3,Laki-laki,Bulanan,>120,<=2.5jt,34
6,1,3,Perempuan,Semester,<=60,<=2.5jt,44
3,0,3,Laki-laki,Triwulan,<=60,<=2.5jt,28
1,1,3,Laki-laki,Bulanan,>120,<=2.5jt,37
12,0,3,Perempuan,Triwulan,<=60,<=2.5jt,26
1,1,3,Perempuan,Bulanan,>120,<=2.5jt,45
1,1,3,Perempuan,Bulanan,60-120,<=2.5jt,27
1,0,3,Perempuan,Triwulan,<=60,<=2.5jt,28
3,1,2,Perempuan,Bulanan,60-120,<=2.5jt,39
1,1,3,Laki-laki,Bulanan,>120,<=2.5jt,40
1,0,3,Perempuan,Bulanan,60-120,<=2.5jt,47
11,1,3,Laki-laki,Bulanan,>120,<=2.5jt,21
1,1,2,Laki-laki,Bulanan,60-120,<=2.5jt,28
13,0,3,Laki-laki,Tahunan,<=60,2.5jt-10jt,44
1,1,3,Laki-laki,Bulanan,>120,<=2.5jt,39
5,0,3,Perempuan,Bulanan,>120,<=2.5jt,43
1,0,3,Laki-laki,Bulanan,60-120,<=2.5jt,28
46,0,3,Perempuan,Triwulan,<=60,<=2.5jt,23
29,0,3,Perempuan,Bulanan,>120,<=2.5jt,40
2,1,2,Laki-laki,Bulanan,60-120,<=2.5jt,34
18,0,3,Perempuan,Triwulan,<=60,<=2.5jt,44
1,0,2,Laki-laki,Bulanan,60-120,<=2.5jt,39
11,1,3,Perempuan,Bulanan,>120,<=2.5jt,40
1,1,3,Laki-laki,Bulanan,60-120,<=2.5jt,45
52,0,3,Laki-laki,Triwulan,<=60,<=2.5jt,44
60,0,3,Perempuan,Tahunan,<=60,2.5jt-10jt,40
8,1,3,Laki-laki,Bulanan,>120,<=2.5jt,35
2,1,3,Laki-laki,Bulanan,>120,<=2.5jt,49
26,0,2,Perempuan,Bulanan,>120,<=2.5jt,42
12,1,3,Laki-laki,Bulanan,>120,<=2.5jt,35
1,0,3,Laki-laki,Bulanan,>120,<=2.5jt,29
2,0,3,Perempuan,Bulanan,>120,<=2.5jt,38
6,0,3,Perempuan,Triwulan,<=60,<=2.5jt,47
12,1,3,Perempuan,Triwulan,<=60,<=2.5jt,29
1,1,3,Perempuan,Bulanan,60-120,<=2.5jt,46
15,0,3,Perempuan,Bulanan,>120,<=2.5jt,46
1,1,3,Laki-laki,Bulanan,60-120,<=2.5jt,45
3,1,2,Perempuan,Bulanan,60-120,<=2.5jt,26
1,1,3,Perempuan,Bulanan,60-120,<=2.5jt,44
7,1,3,Laki-laki,Bulanan,60-120,<=2.5jt,35
7,1,3,Perempuan,Bulanan,60-120,<=2.5jt,35
15,1,3,Laki-laki,Triwulan,<=60,<=2.5jt,44
1,1,3,Laki-laki,Bulanan,60-120,<=2.5jt,34
12,1,3,Laki-laki,Semester,<=60,<=2.5jt,41
54,0,3,Perempuan,Triwulan,<=60,<=2.5jt,29
3,0,3,Perempuan,Bulanan,60-120,<=2.5jt,25
21,1,3,Laki-laki,Bulanan,>120,<=2.5jt,49
2,1,3,Perempuan,Bulanan,>120,<=2.5jt,42
1,1,3,Laki-laki,Bulanan,>120,<=2.5jt,33
3,1,3,Laki-laki,Triwulan,<=60,<=2.5jt,38
1,1,3,Perempuan,Bulanan,>120,<=2.5jt,44
40,0,3,Laki-laki,Semester,<=60,<=2.5jt,20
21,0,3,Perempuan,Bulanan,>120,<=2.5jt,21
18,1,3,Perempuan,Triwulan,<=60,<=2.5jt,38
1,1,3,Perempuan,Bulanan,>120,<=2.5jt,49
18,0,3,Perempuan,Bulanan,60-120,<=2.5jt,24
1,1,3,Laki-laki,Bulanan,>120,<=2.5jt,29
3,0,3,Laki-laki,Triwulan,<=60,<=2.5jt,25
8,1,3,Perempuan,Bulanan,>120,<=2.5jt,35
2,1,3,Perempuan,Bulanan,>120,<=2.5jt,25
17,0,3,Laki-laki,Bulanan,>120,<=2.5jt,35
54,0,3,Laki-laki,Bulanan,>120,<=2.5jt,26
4,0,3,Perempuan,Bulanan,>120,<=2.5jt,20
12,1,3,Laki-laki,Tahunan,<=60,2.5jt-10jt,48
1,1,3,Laki-laki,Bulanan,>120,<=2.5jt,40
8,1,3,Perempuan,Bulanan,>120,<=2.5jt,26
23,0,3,Perempuan,Bulanan,>120,<=2.5jt,36
48,0,3,Laki-laki,Bulanan,>120,<=2.5jt,41
3,1,3,Laki-laki,Bulanan,>120,<=2.5jt,35
1,1,3,Perempuan,Bulanan,>120,<=2.5jt,30
3,0,3,Perempuan,Bulanan,>120,<=2.5jt,41
53,0,3,Laki-laki,Bulanan,>120,<=2.5jt,50
2,1,3,Perempuan,Bulanan,>120,<=2.5jt,47
3,0,2,Perempuan,Bulanan,60-120,<=2.5jt,37
1,1,3,Perempuan,Bulanan,60-120,<=2.5jt,34
4,1,3,Laki-laki,Bulanan,>120,<=2.5jt,25
53,0,3,Perempuan,Bulanan,>120,<=2.5jt,32
12,1,2,Perempuan,Tahunan,<=60,2.5jt-10jt,27
14,1,3,Perempuan,Bulanan,>120,<=2.5jt,36
17,1,3,Perempuan,Bulanan,>120,<=2.5jt,22
42,0,3,Laki-laki,Bulanan,>120,<=2.5jt,23
1,0,3,Perempuan,Bulanan,>120,<=2.5jt,35
13,0,3,Perempuan,Tahunan,<=60,2.5jt-10jt,34
1,1,3,Perempuan,Bulanan,>120,<=2.5jt,39
1,1,3,Perempuan,Bulanan,60-120,<=2.5jt,48
4,1,2,Perempuan,Bulanan,>120,<=2.5jt,47
9,1,3,Perempuan,Triwulan,<=60,<=2.5jt,44
38,1,3,Laki-laki,Bulanan,>120,<=2.5jt,26
7,0,3,Laki-laki,Bulanan,>120,<=2.5jt,22
1,1,2,Perempuan,Bulanan,60-120,<=2.5jt,24
54,0,3,Perempuan,Triwulan,<=60,<=2.5jt,20
8,1,3,Perempuan,Bulanan,>120,<=2.5jt,26
3,1,3,Perempuan,Triwulan,<=60,<=2.5jt,26
1,0,3,Laki-laki,Bulanan,>120,<=2.5jt,46
6,1,3,Laki-laki,Bulanan,60-120,<=2.5jt,35
12,1,3,Laki-laki,Tahunan,<=60,2.5jt-10jt,29
3,0,3,Perempuan,Bulanan,>120,<=2.5jt,34
8,1,3,Perempuan,Bulanan,>120,<=2.5jt,33
1,0,2,Laki-laki,Bulanan,>120,<=2.5jt,39
1,0,3,Laki-laki,Bulanan,>120,<=2.5jt,26
1,1,3,Perempuan,Bulanan,>120,<=2.5jt,36
5,1,3,Perempuan,Bulanan,>120,<=2.5jt,44
3,1,3,Laki-laki,Triwulan,<=60,<=2.5jt,29
1,0,3,Perempuan,Bulanan,>120,<=2.5jt,37
39,0,3,Perempuan,Bulanan,60-120,<=2.5jt,28
2,0,3,Perempuan,Bulanan,>120,<=2.5jt,38
6,1,3,Laki-laki,Triwulan,<=60,<=2.5jt,35
3,1,3,Laki-laki,Triwulan,<=60,<=2.5jt,36
9,1,3,Perempuan,Bulanan,>120,<=2.5jt,47
1,0,3,Perempuan,Bulanan,>120,<=2.5jt,37
1,1,3,Laki-laki,Bulanan,>120,<=2.5jt,35
33,1,3,Perempuan,Bulanan,>120,<=2.5jt,38
1,0,3,Perempuan,Bulanan,>120,<=2.5jt,41
5,1,3,Perempuan,Bulanan,>120,<=2.5jt,18
4,1,3,Perempuan,Bulanan,>120,<=2.5jt,38
23,0,3,Perempuan,Bulanan,60-120,<=2.5jt,26
1,1,3,Laki-laki,Bulanan,>120,<=2.5jt,29
6,1,3,Laki-laki,Bulanan,>120,<=2.5jt,36
54,0,3,Laki-laki,Triwulan,<=60,<=2.5jt,39
22,0,3,Perempuan,Bulanan,60-120,<=2.5jt,48
1,1,3,Perempuan,Bulanan,60-120,<=2.5jt,43
1,1,3,Laki-laki,Bulanan,>120,<=2.5jt,18
15,0,3,Perempuan,Triwulan,<=60,<=2.5jt,45
21,1,3,Perempuan,Triwulan,<=60,<=2.5jt,30
17,0,3,Perempuan,Bulanan,60-120,<=2.5jt,45
15,0,3,Perempuan,Bulanan,>120,<=2.5jt,42
29,0,3,Perempuan,Triwulan,<=60,<=2.5jt,41
3,0,3,Laki-laki,Bulanan,>120,<=2.5jt,47
1,1,3,Perempuan,Bulanan,>120,<=2.5jt,47
3,1,3,Perempuan,Triwulan,<=60,<=2.5jt,45
7,0,3,Laki-laki,Bulanan,>120,<=2.5jt,33
3,0,3,Laki-laki,Triwulan,<=60,<=2.5jt,29
1,1,3,Laki-laki,Bulanan,>120,<=2.5jt,41
14,1,3,Perempuan,Bulanan,>120,<=2.5jt,24
36,0,3,Laki-laki,Bulanan,60-120,<=2.5jt,43
47,0,3,Perempuan,Bulanan,60-120,<=2.5jt,36
26,0,3,Laki-laki,Bulanan,>120,<=2.5jt,50
1,1,3,Laki-laki,Bulanan,>120,<=2.5jt,33
28,0,2,Laki-laki,Bulanan,60-120,<=2.5jt,31
39,1,3,Laki-laki,Triwulan,<=60,<=2.5jt,48
14,0,3,Laki-laki,Bulanan,>120,<=2.5jt,28
1,0,2,Perempuan,Bulanan,>120,<=2.5jt,40
10,1,3,Laki-laki,Bulanan,>120,<=2.5jt,23
54,0,3,Perempuan,Triwulan,<=60,<=2.5jt,40
1,0,3,Perempuan,Bulanan,>120,<=2.5jt,41
1,1,3,Perempuan,Bulanan,>120,<=2.5jt,50
6,1,2,Perempuan,Semester,<=60,<=2.5jt,50
1,1,3,Perempuan,Bulanan,>120,<=2.5jt,39
20,1,3,Laki-laki,Bulanan,60-120,<=2.5jt,48
16,0,3,Laki-laki,Bulanan,>120,<=2.5jt,24
12,1,3,Perempuan,Triwulan,<=60,<=2.5jt,25
2,1,3,Laki-laki,Bulanan,60-120,<=2.5jt,21
9,0,2,Perempuan,Bulanan,60-120,<=2.5jt,29
3,0,2,Perempuan,Triwulan,<=60,<=2.5jt,48
25,0,3,Perempuan,Bulanan,>120,<=2.5jt,48
2,1,3,Perempuan,Bulanan,>120,<=2.5jt,43
1,1,3,Laki-laki,Bulanan,>120,<=2.5jt,45
13,0,3,Laki-laki,Tahunan,<=60,2.5jt-10jt,45
11,1,3,Laki-laki,Bulanan,>120,<=2.5jt,18
45,0,3,Perempuan,Bulanan,60-120,<=2.5jt,43
37,0,3,Perempuan,Bulanan,>120,<=2.5jt,27
7,0,3,Laki-laki,Bulanan,>120,<=2.5jt,36
12,0,3,Perempuan,Tahunan,<=60,2.5jt-10jt,25
7,0,3,Perempuan,Triwulan,<=60,<=2.5jt,40
1,1,3,Perempuan,Bulanan,>120,<=2.5jt,47
1,1,3,Laki-laki,Bulanan,>120,<=2.5jt,39
1,1,3,Perempuan,Bulanan,>120,<=2.5jt,49
2,0,3,Perempuan,Bulanan,>120,<=2.5jt,27
1,0,2,Perempuan,Bulanan,60-120,<=2.5jt,26
14,1,3,Perempuan,Bulanan,>120,<=2.5jt,46
15,1,3,Perempuan,Triwulan,<=60,<=2.5jt,33
1,0,3,Laki-laki,Bulanan,60-120,<=2.5jt,45
1,0,3,Perempuan,Bulanan,>120,<=2.5jt,38
1,0,3,Perempuan,Bulanan,60-120,<=2.5jt,44
49,0,3,Perempuan,Bulanan,60-120,<=2.5jt,41
39,1,3,Perempuan,Triwulan,<=60,<=2.5jt,24
4,0,2,Laki-laki,Bulanan,60-120,<=2.5jt,34
2,0,3,Laki-laki,Bulanan,60-120,<=2.5jt,49
