Account Balance,Duration of Credit,Credit History,Purpose,Credit Amount,Savings,Employment,Installment rate,Personal Status,Guarantors,Residence,Property,Age,Other installments,Housing,Credit cards,Job,Dependents,Telephone,Foreign Worker,Creditability
No Account,11,Other credits,New Car,1393,<100,<1,4,Female-Divorced/Married,None,4,Car,35,None,Own,2,Executive,1,None,Yes,Good
No Account,36,Existing credit paid back duly,TV,2299,500-1000,>7,4,Male-Single,None,4,Car,39,None,Own,1,Employee,1,None,Yes,Good
None,6,Existing credit paid back duly,Used Car,1352,500-1000,Unemployed,1,Female-Divorced/Married,None,2,Life insurance,23,None,Rent,1,Unemployed-Nonresident,1,Yes,Yes,Good
No Account,11,Other credits,New Car,7228,<100,1-4,1,Male-Single,None,4,Life insurance,39,None,Own,2,Unemployed-Resident,1,None,Yes,Good
No Account,12,Existing credit paid back duly,TV,2073,100-500,1-4,4,Female-Divorced/Married,Co-applicant,2,Real estate,28,None,Own,1,Employee,1,None,Yes,Good
0-200,24,Delayed,Furniture,2333,None,<1,4,Male-Single,None,2,Life insurance,29,Bank,Own,1,Unemployed-Resident,1,None,Yes,Good
0-200,27,Delayed,Used Car,5965,<100,>7,1,Male-Single,None,2,Car,30,None,Own,2,Executive,1,Yes,Yes,Good
No Account,12,Existing credit paid back duly,TV,1262,<100,1-4,3,Male-Single,None,2,Car,25,None,Own,1,Employee,1,None,Yes,Good
No Account,18,Existing credit paid back duly,Used Car,3378,None,1-4,2,Male-Single,None,1,Life insurance,31,None,Own,1,Employee,1,Yes,Yes,Good
0-200,36,Delayed,New Car,2225,<100,>7,4,Male-Single,None,4,None,57,Bank,Free,2,Employee,1,Yes,Yes,Bad
No Account,6,All credit paid back duly,New Car,783,None,1-4,1,Male-Single,Guarantor,2,Real estate,26,Stores,Own,1,Unemployed-Resident,2,None,Yes,Good
0-200,12,Existing credit paid back duly,TV,6468,None,Unemployed,2,Male-Single,None,1,None,52,None,Own,1,Executive,1,Yes,Yes,Bad
No Account,36,Other credits,TV,9566,<100,1-4,2,Female-Divorced/Married,None,2,Car,31,Stores,Own,2,Employee,1,None,Yes,Good
>200,18,Existing credit paid back duly,New Car,1961,<100,>7,3,Female-Divorced/Married,None,2,Car,23,None,Own,1,Executive,1,None,Yes,Good
None,36,Other credits,Furniture,6229,<100,<1,4,Female-Divorced/Married,Co-applicant,4,None,23,None,Rent,2,Unemployed-Resident,1,Yes,Yes,Bad
0-200,9,Existing credit paid back duly,Bussiness,1391,<100,1-4,2,Male-Married/Widowed,None,1,Real estate,27,Bank,Own,1,Employee,1,Yes,Yes,Good
0-200,15,Other credits,TV,1537,None,>7,4,Male-Single,Guarantor,4,Real estate,50,None,Own,2,Employee,1,Yes,Yes,Good
0-200,36,No credit,Bussiness,1953,<100,>7,4,Male-Single,None,4,None,61,None,Free,1,Executive,1,Yes,Yes,Bad
0-200,48,No credit,Bussiness,14421,<100,1-4,2,Male-Single,None,2,Car,25,None,Own,1,Employee,1,Yes,Yes,Bad
No Account,24,Existing credit paid back duly,TV,3181,<100,<1,4,Female-Divorced/Married,None,4,Life insurance,26,None,Own,1,Employee,1,Yes,Yes,Good
No Account,27,Existing credit paid back duly,Repairs,5190,None,>7,4,Male-Single,None,4,Life insurance,48,None,Own,4,Employee,2,Yes,Yes,Good
No Account,12,Existing credit paid back duly,TV,2171,<100,<1,2,Female-Divorced/Married,None,2,Car,29,Bank,Own,1,Employee,1,None,Yes,Good
0-200,12,Existing credit paid back duly,New Car,1007,>1000,1-4,4,Male-Married/Widowed,None,1,Real estate,22,None,Own,1,Employee,1,None,Yes,Good
No Account,36,Existing credit paid back duly,Education,1819,<100,1-4,4,Male-Single,None,4,None,37,Stores,Free,1,Employee,1,Yes,Yes,Bad
No Account,36,Existing credit paid back duly,TV,2394,None,1-4,4,Female-Divorced/Married,None,4,Car,25,None,Own,1,Employee,1,None,Yes,Good
No Account,36,Existing credit paid back duly,Used Car,8133,<100,1-4,1,Female-Divorced/Married,None,2,Life insurance,30,Bank,Own,1,Employee,1,None,Yes,Good
No Account,7,Other credits,TV,730,None,>7,4,Male-Single,None,2,Life insurance,46,None,Rent,2,Unemployed-Resident,1,Yes,Yes,Good
None,8,Other credits,Others,1164,<100,>7,3,Male-Single,None,4,None,51,Bank,Free,2,Executive,2,Yes,Yes,Good
0-200,42,Other credits,Bussiness,5954,<100,4-7,2,Female-Divorced/Married,None,1,Real estate,41,Bank,Own,2,Unemployed-Resident,1,None,Yes,Good
None,36,Existing credit paid back duly,Education,1977,None,>7,4,Male-Single,None,4,None,40,None,Own,1,Executive,1,Yes,Yes,Bad
None,12,Other credits,Used Car,1526,<100,>7,4,Male-Single,None,4,None,66,None,Free,2,Executive,1,None,Yes,Good
None,42,Existing credit paid back duly,TV,3965,<100,<1,4,Male-Single,None,3,Car,34,None,Own,1,Employee,1,None,Yes,Bad
0-200,11,Delayed,TV,4771,<100,4-7,2,Male-Single,None,4,Life insurance,51,None,Own,1,Employee,1,None,Yes,Good
No Account,54,No credit,Used Car,9436,None,1-4,2,Male-Single,None,2,Life insurance,39,None,Own,1,Unemployed-Resident,2,None,Yes,Good
0-200,30,Existing credit paid back duly,Furniture,3832,<100,<1,2,Male-Married/Widowed,None,1,Life insurance,22,None,Own,1,Employee,1,None,Yes,Good
No Account,24,Existing credit paid back duly,TV,5943,None,<1,1,Female-Divorced/Married,None,1,Car,44,None,Own,2,Employee,1,Yes,Yes,Bad
No Account,15,Existing credit paid back duly,TV,1213,500-1000,>7,4,Male-Single,None,3,Life insurance,47,Stores,Own,1,Employee,1,Yes,Yes,Good
No Account,18,Existing credit paid back duly,Bussiness,1568,100-500,1-4,3,Female-Divorced/Married,None,4,Life insurance,24,None,Rent,1,Unemployed-Resident,1,None,Yes,Good
None,24,Existing credit paid back duly,Others,1755,<100,>7,4,Female-Divorced/Married,Guarantor,4,Real estate,58,None,Own,1,Unemployed-Resident,1,Yes,Yes,Good
None,10,Existing credit paid back duly,TV,2315,<100,>7,3,Male-Single,None,4,Real estate,52,None,Own,1,Unemployed-Resident,1,None,Yes,Good
No Account,12,Other credits,Bussiness,1412,<100,1-4,4,Female-Divorced/Married,Guarantor,2,Real estate,29,None,Own,2,Executive,1,Yes,Yes,Good
0-200,18,Other credits,Furniture,1295,<100,<1,4,Female-Divorced/Married,None,1,Life insurance,27,None,Own,2,Employee,1,None,Yes,Good
0-200,36,Existing credit paid back duly,Education,12612,100-500,1-4,1,Male-Single,None,4,None,47,None,Free,1,Employee,2,Yes,Yes,Bad
None,18,Existing credit paid back duly,New Car,2249,100-500,4-7,4,Male-Single,None,3,Car,30,None,Own,1,Executive,2,Yes,Yes,Good
None,12,No credit,Repairs,1108,<100,4-7,4,Male-Single,None,3,Real estate,28,None,Own,2,Employee,1,None,Yes,Bad
No Account,12,Other credits,TV,618,<100,>7,4,Male-Single,None,4,Real estate,56,None,Own,1,Employee,1,None,Yes,Good
None,12,Other credits,Used Car,1409,<100,>7,4,Male-Single,None,3,Real estate,54,None,Own,1,Employee,1,None,Yes,Good
No Account,12,Other credits,TV,797,None,>7,4,Female-Divorced/Married,None,3,Life insurance,33,Bank,Own,1,Unemployed-Resident,2,None,Yes,Bad
>200,24,Other credits,Furniture,3617,None,>7,4,Male-Single,Co-applicant,4,None,20,None,Rent,2,Employee,1,None,Yes,Good
0-200,12,Existing credit paid back duly,New Car,1318,>1000,>7,4,Male-Single,None,4,Real estate,54,None,Own,1,Employee,1,Yes,Yes,Good
0-200,54,No credit,Bussiness,15945,<100,<1,3,Male-Single,None,4,None,58,None,Rent,1,Employee,1,Yes,Yes,Bad
No Account,12,Other credits,Education,2012,None,4-7,4,Female-Divorced/Married,None,2,Car,61,None,Own,1,Employee,1,None,Yes,Good
0-200,18,Existing credit paid back duly,Bussiness,2622,100-500,1-4,4,Male-Single,None,4,Car,34,None,Own,1,Employee,1,None,Yes,Good
0-200,36,Other credits,TV,2337,<100,>7,4,Male-Single,None,4,Real estate,36,None,Own,1,Employee,1,None,Yes,Good
0-200,20,Delayed,Used Car,7057,None,4-7,3,Male-Single,None,4,Life insurance,36,Bank,Rent,2,Executive,2,Yes,Yes,Good
No Account,24,Existing credit paid back duly,New Car,1469,100-500,>7,4,Male-Married/Widowed,None,4,Real estate,41,None,Rent,1,Unemployed-Resident,1,None,Yes,Good
0-200,36,Existing credit paid back duly,TV,2323,<100,4-7,4,Male-Single,None,4,Car,24,None,Rent,1,Employee,1,None,Yes,Good
No Account,6,Delayed,TV,932,<100,1-4,3,Female-Divorced/Married,None,2,Real estate,24,None,Own,1,Employee,1,None,Yes,Good
0-200,9,Other credits,Furniture,1919,<100,4-7,4,Male-Single,None,3,Car,35,None,Rent,1,Employee,1,Yes,Yes,Good
No Account,12,Existing credit paid back duly,Used Car,2445,None,<1,2,Male-Married/Widowed,None,4,Car,26,None,Rent,1,Employee,1,Yes,Yes,Good
0-200,24,Other credits,Others,11938,<100,1-4,2,Male-Single,Co-applicant,3,Car,39,None,Own,2,Executive,2,Yes,Yes,Bad
No Account,18,All credit paid back duly,New Car,6458,<100,>7,2,Male-Single,None,4,None,39,Bank,Own,2,Executive,2,Yes,Yes,Bad
0-200,12,Existing credit paid back duly,New Car,6078,<100,4-7,2,Male-Single,None,2,Car,32,None,Own,1,Employee,1,None,Yes,Good
None,24,Existing credit paid back duly,Furniture,7721,None,<1,1,Female-Divorced/Married,None,2,Life insurance,30,None,Own,1,Employee,1,Yes,No,Good
0-200,14,Existing credit paid back duly,Bussiness,1410,500-1000,>7,1,Male-Married/Widowed,None,2,Real estate,35,None,Own,1,Employee,1,Yes,Yes,Good
0-200,6,Delayed,Bussiness,1449,100-500,>7,1,Male-Divorced,None,2,Car,31,Bank,Own,2,Employee,2,None,Yes,Good
>200,15,Existing credit paid back duly,Education,392,<100,<1,4,Female-Divorced/Married,None,4,Life insurance,23,None,Rent,1,Employee,1,Yes,Yes,Good
0-200,18,Existing credit paid back duly,New Car,6260,<100,4-7,3,Male-Single,None,3,Real estate,28,None,Rent,1,Unemployed-Resident,1,None,Yes,Good
No Account,36,Other credits,New Car,7855,<100,1-4,4,Female-Divorced/Married,None,2,Real estate,25,Stores,Own,2,Employee,1,Yes,Yes,Bad
None,12,Existing credit paid back duly,TV,1680,500-1000,>7,3,Male-Married/Widowed,None,1,Real estate,35,None,Own,1,Employee,1,None,Yes,Good
No Account,48,Other credits,TV,3578,None,>7,4,Male-Single,None,1,Real estate,47,None,Own,1,Employee,1,Yes,Yes,Good
None,42,Existing credit paid back duly,TV,7174,None,4-7,4,Female-Divorced/Married,None,3,Car,30,None,Own,1,Executive,1,Yes,Yes,Bad
None,10,Other credits,Furniture,2132,None,<1,2,Female-Divorced/Married,Co-applicant,3,Real estate,27,None,Rent,2,Employee,1,None,No,Good
None,33,Other credits,Furniture,4281,500-1000,1-4,1,Female-Divorced/Married,None,4,Car,23,None,Own,2,Employee,1,None,Yes,Bad
0-200,12,Other credits,New Car,2366,500-1000,4-7,3,Male-Divorced,None,3,Car,36,None,Own,1,Executive,1,Yes,Yes,Good
None,21,Existing credit paid back duly,TV,1835,<100,1-4,3,Female-Divorced/Married,None,2,Real estate,25,None,Own,2,Employee,1,Yes,Yes,Bad
No Account,24,Other credits,Used Car,3868,<100,>7,4,Female-Divorced/Married,None,2,Car,41,None,Rent,2,Executive,1,Yes,Yes,Good
No Account,12,Existing credit paid back duly,Furniture,1768,<100,1-4,3,Male-Single,None,2,Real estate,24,None,Rent,1,Unemployed-Resident,1,None,Yes,Good
>200,10,Other credits,New Car,781,<100,>7,4,Male-Single,None,4,None,63,None,Free,2,Employee,1,Yes,Yes,Good
0-200,18,Existing credit paid back duly,Furniture,1924,None,<1,4,Female-Divorced/Married,None,3,Real estate,27,None,Rent,1,Employee,1,None,Yes,Bad
None,12,Other credits,New Car,2121,<100,1-4,4,Male-Single,None,2,Life insurance,30,None,Own,2,Employee,1,None,Yes,Good
None,12,Existing credit paid back duly,TV,701,<100,1-4,4,Male-Married/Widowed,None,2,Real estate,40,None,Own,1,Unemployed-Resident,1,None,Yes,Good
0-200,12,Existing credit paid back duly,Repairs,639,<100,1-4,4,Male-Single,None,2,Car,30,None,Own,1,Employee,1,None,Yes,Bad
0-200,12,Other credits,Used Car,1860,<100,Unemployed,4,Male-Single,None,2,Car,34,None,Own,2,Executive,1,Yes,Yes,Good
None,12,Other credits,New Car,3499,<100,1-4,3,Female-Divorced/Married,Co-applicant,2,Real estate,29,None,Own,2,Employee,1,None,Yes,Bad
0-200,48,Existing credit paid back duly,New Car,8487,None,4-7,1,Female-Divorced/Married,None,2,Car,24,None,Own,1,Employee,1,None,Yes,Good
None,36,Delayed,Education,6887,<100,1-4,4,Male-Single,None,3,Life insurance,29,Stores,Own,1,Employee,1,Yes,Yes,Bad
No Account,15,Existing credit paid back duly,Furniture,2708,<100,<1,2,Male-Single,None,3,Life insurance,27,Bank,Own,2,Unemployed-Resident,1,None,Yes,Good
No Account,18,Existing credit paid back duly,Furniture,1984,<100,1-4,4,Male-Single,None,4,None,47,Bank,Free,2,Employee,1,None,Yes,Good
No Account,60,Existing credit paid back duly,TV,10144,100-500,4-7,2,Female-Divorced/Married,None,4,Real estate,21,None,Own,1,Employee,1,Yes,Yes,Good
No Account,12,Other credits,TV,1240,None,>7,4,Female-Divorced/Married,None,2,Real estate,38,None,Own,2,Employee,1,Yes,Yes,Good
No Account,27,Delayed,Used Car,8613,>1000,1-4,2,Male-Single,None,2,Car,27,None,Own,2,Employee,1,None,Yes,Good
0-200,12,Existing credit paid back duly,TV,766,500-1000,1-4,4,Male-Single,None,3,Real estate,66,None,Own,1,Unemployed-Resident,1,None,Yes,Bad
0-200,15,Other credits,TV,2728,None,4-7,4,Male-Single,Guarantor,2,Real estate,35,Bank,Own,3,Employee,1,Yes,Yes,Good
>200,12,Existing credit paid back duly,TV,1881,<100,1-4,2,Female-Divorced/Married,None,2,Car,44,None,Rent,1,Unemployed-Resident,1,Yes,Yes,Good
>200,6,Existing credit paid back duly,New Car,709,>1000,<1,2,Male-Married/Widowed,None,2,Real estate,27,None,Own,1,Unemployed-Nonresident,1,None,No,Good
0-200,36,Existing credit paid back duly,TV,4795,<100,<1,4,Female-Divorced/Married,None,1,None,30,None,Own,1,Executive,1,Yes,Yes,Good
None,27,Existing credit paid back duly,TV,3416,<100,1-4,3,Male-Single,None,2,Car,27,None,Own,1,Executive,1,None,Yes,Good
None,18,Existing credit paid back duly,Furniture,2462,<100,1-4,2,Male-Single,None,2,Car,22,None,Own,1,Employee,1,None,Yes,Bad
No Account,21,Other credits,Furniture,2288,<100,<1,4,Female-Divorced/Married,None,4,Life insurance,23,None,Own,1,Employee,1,Yes,Yes,Good
0-200,48,All credit paid back duly,Bussiness,3566,100-500,4-7,4,Male-Single,None,2,Car,30,None,Own,1,Employee,1,None,Yes,Good
None,6,Other credits,New Car,860,<100,>7,1,Female-Divorced/Married,None,4,None,39,None,Own,2,Employee,1,Yes,Yes,Good
No Account,12,Other credits,New Car,682,100-500,4-7,4,Female-Divorced/Married,None,3,Car,51,None,Own,2,Employee,1,Yes,Yes,Good
None,36,Other credits,Furniture,5371,<100,1-4,3,Male-Single,Guarantor,2,Life insurance,28,None,Own,2,Employee,1,None,Yes,Good
No Account,18,Other credits,TV,1582,>1000,>7,4,Male-Single,None,4,Car,46,None,Own,2,Employee,1,None,Yes,Good
No Account,6,Existing credit paid back duly,TV,1346,100-500,>7,2,Male-Single,None,4,None,42,Bank,Free,1,Employee,2,Yes,Yes,Good
No Account,10,Existing credit paid back duly,TV,1924,<100,1-4,1,Male-Single,None,4,Life insurance,38,None,Own,1,Employee,1,Yes,No,Good
>200,36,Existing credit paid back duly,TV,5848,<100,1-4,4,Male-Single,None,1,Car,24,None,Own,1,Employee,1,None,Yes,Good
0-200,24,Other credits,Used Car,7758,>1000,>7,2,Female-Divorced/Married,None,4,None,29,None,Rent,1,Employee,1,None,Yes,Good
0-200,24,Delayed,Bussiness,6967,100-500,4-7,4,Male-Single,None,4,Car,36,None,Rent,1,Executive,1,Yes,Yes,Good
None,12,Existing credit paid back duly,Furniture,1282,<100,1-4,2,Female-Divorced/Married,None,4,Car,20,None,Rent,1,Employee,1,None,Yes,Bad
None,9,Other credits,Repairs,1288,100-500,>7,3,Male-Single,Guarantor,4,Real estate,48,None,Own,2,Employee,2,None,No,Good
None,12,All credit paid back duly,Retraining,339,<100,>7,4,Male-Married/Widowed,None,1,Car,45,Bank,Own,1,Unemployed-Resident,1,None,Yes,Good
0-200,24,Existing credit paid back duly,New Car,3512,100-500,4-7,2,Male-Single,None,3,Car,38,Bank,Own,2,Employee,1,Yes,Yes,Good
No Account,6,Other credits,TV,1898,None,1-4,1,Male-Single,None,2,Real estate,34,None,Own,2,Unemployed-Resident,2,None,Yes,Good
No Account,24,Other credits,TV,2872,100-500,>7,3,Male-Single,None,4,Real estate,36,None,Own,1,Employee,2,Yes,Yes,Good
No Account,18,Other credits,New Car,1055,<100,<1,4,Female-Divorced/Married,None,1,Life insurance,30,None,Own,2,Employee,1,None,Yes,Good
No Account,15,Existing credit paid back duly,Appliances,1262,500-1000,4-7,4,Male-Single,None,3,Life insurance,36,None,Own,2,Employee,1,Yes,Yes,Good
0-200,10,Existing credit paid back duly,New Car,7308,<100,Unemployed,2,Male-Single,None,4,None,70,Bank,Free,1,Executive,1,Yes,Yes,Good
No Account,36,Existing credit paid back duly,New Car,909,500-1000,>7,4,Male-Single,None,4,Life insurance,36,None,Own,1,Employee,1,None,Yes,Good
No Account,6,Existing credit paid back duly,Furniture,2978,500-1000,1-4,1,Male-Single,None,2,Car,32,None,Own,1,Employee,1,Yes,Yes,Good
None,18,Existing credit paid back duly,Furniture,1131,<100,Unemployed,4,Female-Divorced/Married,None,2,Car,33,None,Own,1,Employee,1,None,Yes,Bad
0-200,11,Existing credit paid back duly,Furniture,1577,>1000,<1,4,Female-Divorced/Married,None,1,Real estate,20,None,Own,1,Employee,1,None,Yes,Good
No Account,24,Existing credit paid back duly,Furniture,3972,<100,4-7,2,Female-Divorced/Married,None,4,Life insurance,25,None,Rent,1,Employee,1,Yes,Yes,Good
0-200,24,Other credits,Bussiness,1935,<100,>7,4,Male-Divorced,None,4,Real estate,31,None,Own,2,Employee,1,Yes,Yes,Bad
None,15,No credit,New Car,950,<100,>7,4,Male-Single,None,3,Car,33,None,Rent,2,Employee,2,None,Yes,Bad
No Account,12,Existing credit paid back duly,Furniture,763,<100,1-4,4,Female-Divorced/Married,None,1,Real estate,26,None,Own,1,Employee,1,Yes,Yes,Good
0-200,24,Delayed,Furniture,2064,<100,Unemployed,3,Female-Divorced/Married,None,2,Life insurance,34,None,Own,1,Executive,1,Yes,Yes,Bad
0-200,8,Existing credit paid back duly,TV,1414,<100,1-4,4,Male-Single,Guarantor,2,Real estate,33,None,Own,1,Employee,1,None,No,Good
None,21,Delayed,Education,3414,<100,<1,2,Male-Single,None,1,Life insurance,26,None,Own,2,Employee,1,None,Yes,Bad
No Account,30,All credit paid back duly,Used Car,7485,None,Unemployed,4,Female-Divorced/Married,None,1,Real estate,53,Bank,Own,1,Executive,1,Yes,Yes,Bad
None,12,Existing credit paid back duly,Furniture,2577,<100,1-4,2,Male-Divorced,None,1,Car,42,None,Own,1,Employee,1,None,Yes,Good
None,6,Other credits,TV,338,500-1000,>7,4,Male-Single,None,4,Car,52,None,Own,2,Employee,1,None,Yes,Good
No Account,12,Existing credit paid back duly,TV,1963,<100,4-7,4,Male-Single,None,2,Car,31,None,Rent,2,Executive,2,Yes,Yes,Good
None,21,Other credits,New Car,571,<100,>7,4,Male-Single,None,4,Real estate,65,None,Own,2,Employee,1,None,Yes,Good
No Account,36,Delayed,Bussiness,9572,<100,<1,1,Male-Divorced,None,1,Car,28,None,Own,2,Employee,1,None,Yes,Bad
0-200,36,Delayed,Bussiness,4455,<100,1-4,2,Male-Divorced,None,2,Real estate,30,Stores,Own,2,Executive,1,Yes,Yes,Bad
None,21,All credit paid back duly,New Car,1647,None,1-4,4,Male-Single,None,2,Life insurance,40,None,Own,2,Unemployed-Resident,2,None,Yes,Bad
No Account,24,Other credits,Furniture,3777,>1000,1-4,4,Male-Single,None,4,Real estate,50,None,Own,1,Employee,1,Yes,Yes,Good
0-200,18,Other credits,New Car,884,<100,>7,4,Male-Single,None,4,Car,36,Bank,Own,1,Employee,2,Yes,Yes,Bad
No Account,15,Other credits,TV,1360,<100,1-4,4,Male-Single,None,2,Life insurance,31,None,Own,2,Employee,1,None,Yes,Good
0-200,9,All credit paid back duly,Used Car,5129,<100,>7,2,Female-Divorced/Married,None,4,None,74,Bank,Free,1,Executive,2,Yes,Yes,Bad
0-200,16,Other credits,New Car,1175,<100,Unemployed,2,Male-Single,None,3,Car,68,None,Free,3,Unemployed-Nonresident,1,Yes,Yes,Good
None,12,Existing credit paid back duly,TV,674,100-500,4-7,4,Male-Married/Widowed,None,1,Life insurance,20,None,Own,1,Employee,1,None,Yes,Bad
